Year,US Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1970,203798722,3449846,304328,1794912,1930077,20023181,2223979,3038782,550332,755087,6845353,4605421,762920,717255,11124681,5203700,2828534,2247823,3230587,3650209,996784,3938051,5703706,8896558,3815249,2221128,4684768,697172,1487963,493223,741932,7190282,1023206,18271605,5099150,618851,10668839,2566485,2100388,11811561,950561,2598210,666641,3936975,11236772,1065672,446323,4659930,3417362,1746629,4425944,333795
1971,206817509,3497452,316494,1896108,1972028,20345575,2303502,3061448,565207,750641,7163026,4710272,791580,738749,11205816,5249921,2851828,2246132,3298262,3710666,1015677,4022507,5738589,8971835,3851901,2265529,4722703,711037,1504208,519989,762173,7281935,1053258,18364865,5200760,626659,10734782,2617944,2149890,11884354,963974,2661836,671382,4010238,11509640,1100733,454357,4752846,3446958,1770252,4459968,340023
1972,209274882,3540080,326494,2008847,2018116,20584794,2404576,3069617,573821,743775,7520324,4807151,818104,763229,11258111,5296129,2860506,2255525,3336106,3761967,1034817,4081121,5762122,9024681,3866878,2307291,4753234,719138,1518293,546736,781699,7336538,1077815,18351767,5296085,630937,10746920,2657448,2195219,11904541,976365,2718404,677389,4088445,11758760,1134601,463214,4828131,3446815,1796910,4498433,346863
1973,211349205,3580769,333232,2125281,2058491,20867737,2495803,3069140,579078,733674,7927099,4906940,841851,782061,11260248,5329122,2864031,2264369,3371573,3788840,1046420,4109038,5783809,9071764,3885164,2349802,4774601,727389,1528517,568910,801824,7335240,1104225,18194767,5382441,632411,10767205,2694182,2238878,11885202,978010,2775442,678939,4138417,12018970,1168784,468533,4906648,3477227,1805293,4518461,353353
1974,213333635,3627805,344696,2224342,2100385,21172548,2541318,3075784,583150,720755,8317034,4994870,858121,807973,11273745,5349886,2867941,2267881,3417039,3820720,1060050,4133341,5776992,9109374,3898450,2378603,4785391,737203,1537809,596713,817073,7335227,1129568,18072768,5461112,634212,10765613,2732454,2280956,11863936,953503,2843199,679877,4201621,12267865,1198793,473138,4978155,3547877,1814048,4538173,364548
1975,215456585,3680533,370973,2286348,2158291,21536715,2586144,3084726,588756,710308,8541660,5058535,875052,831981,11306351,5351080,2881425,2278621,3468755,3886963,1073280,4157208,5762138,9107840,3925793,2399924,4795383,749208,1541440,619847,830025,7341417,1162682,18032254,5535097,638469,10770498,2771858,2324622,11897778,946339,2900158,681420,4260829,12568182,1233935,479894,5056385,3618824,1840548,4569616,380477
1976,217553859,3737204,393115,2347976,2168688,21934505,2632244,3085984,592755,696305,8695356,5126155,892335,856979,11360274,5371552,2903770,2298645,3530443,3951636,1089960,4172132,5748868,9117481,3956602,2430324,4823554,758521,1548901,646823,847025,7344079,1195162,17974654,5593463,645293,10752731,2823396,2372155,11887478,950321,2941407,686843,4329160,12903268,1272365,485144,5132693,3690561,1877440,4584688,395446
1977,219760875,3782736,397363,2427310,2207228,22350247,2696007,3088729,594821,681768,8888958,5211771,915749,883446,11406312,5405075,2914308,2317836,3575001,4015582,1105369,4194639,5744097,9157247,3979844,2459810,4845042,771354,1554466,678134,871860,7342027,1225245,17851507,5668494,649168,10771232,2865935,2439355,11881857,955128,2988979,688992,4401939,13191790,1316421,492174,5205706,3772360,1905628,4613299,411530
1978,222098244,3834120,402191,2517852,2241019,22838960,2766725,3094839,598188,670046,9131554,5286148,928816,910962,11434421,5446403,2919008,2332815,3611382,4073288,1115457,4211641,5742923,9201953,4004676,2488033,4871171,784043,1560826,719345,893974,7356414,1251848,17720421,5740286,650648,10795431,2913056,2509609,11864774,957237,3041068,689293,4461639,13497726,1364235,498284,5284122,3886191,1920342,4631944,430897
1979,224568579,3869444,403544,2638582,2269115,23255069,2849181,3099907,598830,655616,9470585,5391265,950050,932636,11422782,5474909,2916803,2347370,3643655,4139316,1124927,4223398,5746188,9248814,4038150,2507967,4889327,789167,1564356,765121,911893,7373048,1280539,17633646,5801563,652152,10798562,2970080,2578312,11873563,956643,3086885,689018,4533297,13887312,1416094,505711,5324533,4012831,1939062,4665911,451850
