State,Year,CO2 Emissions by million metric tons,US Total,State Total Year,State Total Emissions Count
Alabama,1970,39.24,US Total 1970,1970,"1,321.59"
Alabama,1971,36.62,US Total 1971,1971,"1,274.84"
Alabama,1972,38.64,US Total 1972,1972,"1,315.51"
Alabama,1973,37.39,US Total 1973,1973,"1,372.81"
Alabama,1974,36.75,US Total 1974,1974,"1,305.91"
Alabama,1975,36.91,US Total 1975,1975,"1,192.10"
Alabama,1976,34.6,US Total 1976,1976,"1,249.16"
Alabama,1977,34.17,US Total 1977,1977,"1,266.24"
Alabama,1978,32.46,US Total 1978,1978,"1,242.78"
Alabama,1979,37.27,US Total 1979,1979,"1,284.99"
Alabama,1980,31.46,US Total 1980,1980,"1,172.21"
Alabama,1981,29.09,US Total 1981,1981,"1,096.01"
Alabama,1982,25.98,US Total 1982,1982,965.16
Alabama,1983,21.73,US Total 1983,1983,923.24
Alabama,1984,25.06,US Total 1984,1984,"1,016.70"
Alabama,1985,23.07,US Total 1985,1985,971.38
Alabama,1986,21.9,US Total 1986,1986,947.18
Alabama,1987,23.61,US Total 1987,1987,978.27
Alabama,1988,26.06,US Total 1988,1988,"1,031.01"
Alabama,1989,24.64,US Total 1989,1989,"1,031.74"
Alabama,1990,24.65,US Total 1990,1990,"1,055.52"
Alabama,1991,24.87,US Total 1991,1991,"1,022.25"
Alabama,1992,27.89,US Total 1992,1992,"1,070.47"
Alabama,1993,26.48,US Total 1993,1993,"1,062.32"
Alabama,1994,27.39,US Total 1994,1994,"1,076.32"
Alabama,1995,28.09,US Total 1995,1995,"1,087.69"
Alabama,1996,29.03,US Total 1996,1996,"1,125.97"
Alabama,1997,28.25,US Total 1997,1997,"1,129.09"
Alabama,1998,25.75,US Total 1998,1998,"1,088.94"
Alabama,1999,25.91,US Total 1999,1999,"1,071.37"
Alabama,2000,25.29,US Total 2000,2000,"1,065.49"
Alabama,2001,21.58,US Total 2001,2001,"1,043.81"
Alabama,2002,21.42,US Total 2002,2002,"1,026.49"
Alabama,2003,22.78,US Total 2003,2003,"1,020.67"
Alabama,2004,23.23,US Total 2004,2004,"1,050.76"
Alabama,2005,21.84,US Total 2005,2005,"1,008.15"
Alabama,2006,21.15,US Total 2006,2006,"1,011.11"
Alabama,2007,20.49,US Total 2007,2007,"1,002.14"
Alabama,2008,20.11,US Total 2008,2008,966.84
Alabama,2009,16.43,US Total 2009,2009,854.37
Alabama,2010,17.82,US Total 2010,2010,921.41
Alabama,2011,18.19,US Total 2011,2011,924.61
Alabama,2012,20.23,US Total 2012,2012,936.52
Alabama,2013,20.31,US Total 2013,2013,958.15
Alabama,2014,21.38,US Total 2014,2014,969.19
Alabama,2015,20.21,US Total 2015,2015,950.5
Alabama,2016,20.28,US Total 2016,2016,948.61
Alabama,2017,20.08,US Total 2017,2017,967.85
Alabama,2018,20.94,US Total 2018,2018,"1,004.82"
Alabama,2019,19.67,US Total 2019,2019,"1,006.64"
Alabama,2020,18.13,US Total 2020,2020,949.06
Alabama,2021,19.64,US Total 2021,2021,980.18
Alaska,1970,2.9,,,
Alaska,1971,3.07,,,
Alaska,1972,3.56,,,
Alaska,1973,3.52,,,
Alaska,1974,3.27,,,
Alaska,1975,4.33,,,
Alaska,1976,4.78,,,
Alaska,1977,5.99,,,
Alaska,1978,6.96,,,
Alaska,1979,6.84,,,
Alaska,1980,6.47,,,
Alaska,1981,4.73,,,
Alaska,1982,10.64,,,
Alaska,1983,11.41,,,
Alaska,1984,11.96,,,
Alaska,1985,11.79,,,
Alaska,1986,11.74,,,
Alaska,1987,12.17,,,
Alaska,1988,14.22,,,
Alaska,1989,15.4,,,
Alaska,1990,15.49,,,
Alaska,1991,17.03,,,
Alaska,1992,18.46,,,
Alaska,1993,18.1,,,
Alaska,1994,17.7,,,
Alaska,1995,21.02,,,
Alaska,1996,22.1,,,
Alaska,1997,20.77,,,
Alaska,1998,21.28,,,
Alaska,1999,20.28,,,
Alaska,2000,20.23,,,
Alaska,2001,20.27,,,
Alaska,2002,20.74,,,
Alaska,2003,20.52,,,
Alaska,2004,19.85,,,
Alaska,2005,21.33,,,
Alaska,2006,18.19,,,
Alaska,2007,18.3,,,
Alaska,2008,16.19,,,
Alaska,2009,16.48,,,
Alaska,2010,15.91,,,
Alaska,2011,16.1,,,
Alaska,2012,16.54,,,
Alaska,2013,16.46,,,
Alaska,2014,16.15,,,
Alaska,2015,16.16,,,
Alaska,2016,16.04,,,
Alaska,2017,15.98,,,
Alaska,2018,16.5,,,
Alaska,2019,16.22,,,
Alaska,2020,17.59,,,
Alaska,2021,18.39,,,
Arizona,1970,4,,,
Arizona,1971,4.33,,,
Arizona,1972,4.9,,,
Arizona,1973,5.47,,,
Arizona,1974,5.38,,,
Arizona,1975,4.68,,,
Arizona,1976,5.45,,,
Arizona,1977,6.85,,,
Arizona,1978,6.26,,,
Arizona,1979,8.02,,,
Arizona,1980,5.19,,,
Arizona,1981,6.42,,,
Arizona,1982,5.69,,,
Arizona,1983,5.59,,,
Arizona,1984,6.37,,,
Arizona,1985,5.62,,,
Arizona,1986,6.36,,,
Arizona,1987,3.38,,,
Arizona,1988,3.59,,,
Arizona,1989,4.15,,,
Arizona,1990,3.79,,,
Arizona,1991,3.84,,,
Arizona,1992,3.85,,,
Arizona,1993,3.86,,,
Arizona,1994,4.25,,,
Arizona,1995,4.59,,,
Arizona,1996,4.74,,,
Arizona,1997,4.85,,,
Arizona,1998,4.56,,,
Arizona,1999,4.66,,,
Arizona,2000,4.66,,,
Arizona,2001,4.79,,,
Arizona,2002,4.25,,,
Arizona,2003,4.02,,,
Arizona,2004,4.53,,,
Arizona,2005,5,,,
Arizona,2006,5.04,,,
Arizona,2007,4.84,,,
Arizona,2008,5.38,,,
Arizona,2009,4.19,,,
Arizona,2010,4.61,,,
Arizona,2011,4.96,,,
Arizona,2012,4.86,,,
Arizona,2013,4.51,,,
Arizona,2014,4.39,,,
Arizona,2015,4.25,,,
Arizona,2016,4.45,,,
Arizona,2017,4.81,,,
Arizona,2018,4.52,,,
Arizona,2019,4.64,,,
Arizona,2020,4.7,,,
Arizona,2021,4.63,,,
Arkansas,1970,11.18,,,
Arkansas,1971,10.69,,,
Arkansas,1972,10.95,,,
Arkansas,1973,13.34,,,
Arkansas,1974,12.69,,,
Arkansas,1975,11.32,,,
Arkansas,1976,11.96,,,
Arkansas,1977,12.23,,,
Arkansas,1978,11.65,,,
Arkansas,1979,12.45,,,
Arkansas,1980,10.4,,,
Arkansas,1981,11.4,,,
Arkansas,1982,10.27,,,
Arkansas,1983,9.26,,,
Arkansas,1984,9,,,
Arkansas,1985,9.35,,,
Arkansas,1986,8.87,,,
Arkansas,1987,6.33,,,
Arkansas,1988,8.91,,,
Arkansas,1989,9.82,,,
Arkansas,1990,9.08,,,
Arkansas,1991,7.82,,,
Arkansas,1992,9.32,,,
Arkansas,1993,9.41,,,
Arkansas,1994,10.2,,,
Arkansas,1995,11.13,,,
Arkansas,1996,10.81,,,
Arkansas,1997,11.18,,,
Arkansas,1998,11.01,,,
Arkansas,1999,10.53,,,
Arkansas,2000,10.68,,,
Arkansas,2001,10.75,,,
Arkansas,2002,10.28,,,
Arkansas,2003,10.4,,,
Arkansas,2004,10.13,,,
Arkansas,2005,9.81,,,
Arkansas,2006,9.9,,,
Arkansas,2007,9.69,,,
Arkansas,2008,10.29,,,
Arkansas,2009,7.79,,,
Arkansas,2010,8.77,,,
Arkansas,2011,8.67,,,
Arkansas,2012,8.29,,,
Arkansas,2013,8.83,,,
Arkansas,2014,8.67,,,
Arkansas,2015,7.84,,,
Arkansas,2016,7.82,,,
Arkansas,2017,8.09,,,
Arkansas,2018,8.62,,,
Arkansas,2019,8.53,,,
Arkansas,2020,8.37,,,
Arkansas,2021,8.28,,,
California,1970,68.15,,,
California,1971,66.03,,,
California,1972,67.08,,,
California,1973,72.85,,,
California,1974,70.78,,,
California,1975,66.77,,,
California,1976,67.42,,,
California,1977,70.11,,,
California,1978,63.79,,,
California,1979,69.09,,,
California,1980,65.28,,,
California,1981,58.59,,,
California,1982,52.73,,,
California,1983,56.64,,,
California,1984,69.18,,,
California,1985,67.91,,,
California,1986,64.07,,,
California,1987,70.14,,,
California,1988,67.44,,,
California,1989,66.91,,,
California,1990,69.33,,,
California,1991,70.66,,,
California,1992,71.09,,,
California,1993,68.33,,,
California,1994,68.67,,,
California,1995,67.63,,,
California,1996,70.89,,,
California,1997,75.56,,,
California,1998,73.3,,,
California,1999,71.68,,,
California,2000,70.98,,,
California,2001,72.75,,,
California,2002,74.31,,,
California,2003,74.02,,,
California,2004,78.9,,,
California,2005,76.32,,,
California,2006,74.96,,,
California,2007,73.14,,,
California,2008,69.77,,,
California,2009,64.8,,,
California,2010,67.02,,,
California,2011,67.33,,,
California,2012,67.86,,,
California,2013,71.34,,,
California,2014,71.25,,,
California,2015,70.53,,,
California,2016,71.69,,,
California,2017,71.64,,,
California,2018,71.51,,,
California,2019,70.97,,,
California,2020,64.62,,,
California,2021,63.95,,,
Colorado,1970,10.85,,,
Colorado,1971,9.92,,,
Colorado,1972,11.39,,,
Colorado,1973,12,,,
Colorado,1974,11.77,,,
Colorado,1975,11.2,,,
Colorado,1976,11.01,,,
Colorado,1977,11.23,,,
Colorado,1978,10.37,,,
Colorado,1979,10.03,,,
Colorado,1980,10.75,,,
Colorado,1981,8.72,,,
Colorado,1982,7.47,,,
Colorado,1983,6.74,,,
Colorado,1984,6.65,,,
Colorado,1985,5.73,,,
Colorado,1986,6,,,
Colorado,1987,5.51,,,
Colorado,1988,6.29,,,
Colorado,1989,6.72,,,
Colorado,1990,6.9,,,
Colorado,1991,7.77,,,
Colorado,1992,8.02,,,
Colorado,1993,8.7,,,
Colorado,1994,8.2,,,
Colorado,1995,8.07,,,
Colorado,1996,8.31,,,
Colorado,1997,8.64,,,
Colorado,1998,9.12,,,
Colorado,1999,8.94,,,
Colorado,2000,9.51,,,
Colorado,2001,12.8,,,
Colorado,2002,12.25,,,
Colorado,2003,11.72,,,
Colorado,2004,12.12,,,
Colorado,2005,13.14,,,
Colorado,2006,13.03,,,
Colorado,2007,13.12,,,
Colorado,2008,13.65,,,
Colorado,2009,13.23,,,
Colorado,2010,14.26,,,
Colorado,2011,12.87,,,
Colorado,2012,13.05,,,
Colorado,2013,13.07,,,
Colorado,2014,13.88,,,
Colorado,2015,14.16,,,
Colorado,2016,12.16,,,
Colorado,2017,12.73,,,
Colorado,2018,13.22,,,
Colorado,2019,13.37,,,
Colorado,2020,12.94,,,
Colorado,2021,13.18,,,
Connecticut,1970,8.86,,,
Connecticut,1971,7.55,,,
Connecticut,1972,7.42,,,
Connecticut,1973,8.06,,,
Connecticut,1974,7.08,,,
Connecticut,1975,6.41,,,
Connecticut,1976,7.9,,,
Connecticut,1977,8.05,,,
Connecticut,1978,8.37,,,
Connecticut,1979,6.1,,,
Connecticut,1980,5.97,,,
Connecticut,1981,3.22,,,
Connecticut,1982,3.54,,,
