Year,US Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1970,1321.59,39.24,2.9,4,11.18,68.15,10.85,8.86,4.28,2.69,11.6,15.2,1.46,3.71,71.04,73.88,14.41,15.1,18.2,88.91,3.01,22.61,15.64,53.31,17.02,12.77,15.51,5.3,5.58,1.2,1.7,27.52,8.74,61.6,15.43,4.05,104.05,17.33,7.83,127.45,2.26,10.61,2.25,15.7,189.23,11.89,0.55,16.92,16.53,30.97,24.78,6.61
1971,1274.84,36.62,3.07,4.33,10.69,66.03,9.92,7.55,4.21,2.34,11.82,15.46,1.3,3.91,65.96,69.14,13.01,15.86,17.24,90.56,6.07,22.86,14.89,53.68,17.07,12.89,15.02,5.62,5.56,1.41,2,24.13,8.77,52.64,16.16,3.82,92.18,17.78,8.27,114.37,2.4,10.57,2.11,14.79,197.33,11.87,0.55,16.17,17.16,28.49,22.4,6.83
1972,1315.51,38.64,3.56,4.9,10.95,67.08,11.39,7.42,4.37,1.9,11.76,16.53,1.47,4.03,67.86,78.1,13.37,17.03,18.01,94.34,6.01,21.05,15.27,55.28,18.33,13.63,15.72,5.89,5.71,1.39,2.11,24.42,9.19,49.82,17.09,3.94,95.8,17.76,9.29,114.6,2.35,10.53,2.07,16.55,202.46,11.95,0.58,16.29,19.68,29.87,20.75,7.42
1973,1372.81,37.39,3.52,5.47,13.34,72.85,12,8.06,4.91,1.71,13.06,17.93,1.5,4.28,68.99,78.18,15.12,17.95,17.3,101.58,5.61,25.47,14.99,53.18,19.79,13.5,16.63,6.23,6.52,1.38,1.95,24.92,9.05,52.53,16.72,3.65,94.6,17.6,8.79,118.46,2.25,10.53,2.01,18.46,223.77,13.12,0.6,16.45,20.01,30,21.17,7.74
1974,1305.91,36.75,3.27,5.38,12.69,70.78,11.77,7.08,4.08,1.07,11.73,16.34,1.43,4.49,67.24,75.1,14.17,17.19,18.21,102.81,4.79,19.91,12.39,45.19,17.53,12.11,15.52,6.17,6.73,1.17,1.6,21.66,8.7,48.02,15.29,3.52,96.1,18.7,7.75,114.62,1.81,9.67,1.83,17.36,213.41,13.36,0.47,14.96,17.93,28.9,19.41,7.74
1975,1192.1,36.91,4.33,4.68,11.32,66.77,11.2,6.41,3.83,1.11,11.05,14.25,1.33,4.86,61.73,69.75,13.22,15.29,16.21,90.79,3.27,16.61,10.69,47.07,17.88,10.99,14.91,5.99,6.79,1.11,1.52,19.31,8.11,40.82,13.51,3.73,85.98,18.06,6.93,104.59,1.47,8.84,1.82,14.87,185.58,12.98,0.53,14.34,16.73,25.56,18.43,8.04
1976,1249.16,34.6,4.78,5.45,11.96,67.42,11.01,7.9,3.87,0.84,13.22,14.4,1.3,4.54,60.96,67.45,13.73,16.57,16.06,107.45,4.97,18.43,11.08,47.38,19.1,10.92,15.61,6.1,7.52,1.41,1.84,22.68,9.08,48.66,15.02,3.51,87.48,21.2,6.44,107.78,1.73,11.42,1.97,17.22,189.33,13.48,0.68,13.32,15.52,27.54,18.03,9.19
1977,1266.24,34.17,5.99,6.85,12.23,70.11,11.23,8.05,3.78,0.81,14.7,14.07,1.4,4.21,59.83,70.32,13.07,17.44,16.21,122.24,5.11,14.83,10.36,42.47,17.68,11.6,15.74,6.22,6.92,1.29,1.96,21.45,8.06,45.95,15.66,3.34,84.08,21.94,6.51,101.03,2.02,11.99,1.93,18.43,202.52,13.03,0.63,13.97,17.58,25.1,19.88,10.23
1978,1242.78,32.46,6.96,6.26,11.65,63.79,10.37,8.37,3.85,0.57,14.23,13.68,1.36,4.66,58.29,69.56,11.85,17.19,16.99,126.96,4.23,14.91,9.48,40.6,18.06,11.58,14.24,5.9,6.67,1.33,1.45,20.64,7.32,41.61,14.01,3.53,82.56,22.88,6.68,97.1,1.41,10.75,2.12,17.76,212.04,12.6,0.62,13.16,16.43,22.76,18.79,10.5
1979,1284.99,37.27,6.84,8.02,12.45,69.09,10.03,6.1,4.3,0.57,16.29,16.2,1.74,4.42,57.46,73.21,14.4,22.59,18.01,115.34,3.87,18.07,6.31,41.68,17.26,11.8,14.32,7.42,7.1,1.24,0.72,25.81,7.12,42.38,16.65,3.93,85.24,26.11,6.28,106.08,0.95,11.57,2.26,18.81,211.94,12.38,0.52,16.03,15.09,22.04,18.04,11.66
1980,1172.21,31.46,6.47,5.19,10.4,65.28,10.75,5.97,4.22,0.3,17.95,15.45,1.88,3.71,55.25,64.7,12.88,17.34,17.84,106.73,2.62,14.76,4.5,40.47,12.93,10.03,12.55,5.88,5.59,1.12,0.91,21.85,6.8,33.88,15.08,3.18,73.89,20.49,6.18,87.23,0.81,12.53,1.95,16.95,217.18,10.91,0.47,16.27,14.17,20.99,15.54,10.73
1981,1096.01,29.09,4.73,6.42,11.4,58.59,8.72,3.22,2.84,0.24,14.4,14.6,1.76,3.52,46.19,64.34,12.58,15.3,15.56,104.01,3.13,14.3,5.68,36.62,11.06,9.79,12.48,5.05,5.07,1.2,0.61,18.13,6.11,29.72,14.03,4.06,72.48,20.64,5.99,76.11,0.8,12.7,1.81,18.71,205.44,10.12,0.44,15.96,16.3,19.03,14.74,10.21
1982,965.16,25.98,10.64,5.69,10.27,52.73,7.47,3.54,2.87,0.1,10.9,13.59,2.26,3.12,41.11,50.58,11.32,14.99,15.08,95.01,6.27,12.28,5.38,32.63,10.96,10.8,11.47,3.97,4.85,1.18,0.79,17.29,6.16,25.87,13.45,3.56,58.3,21.15,5.82,52.88,0.73,10.95,2.1,16.54,172.58,8.3,0.48,15.06,15.02,16.68,14.59,9.83
1983,923.24,21.73,11.41,5.59,9.26,56.64,6.74,2.71,3.35,0.02,11.06,14.35,1.03,2.94,42.55,50.45,10.23,13.87,15.76,91.75,2.83,12.48,5.76,30.45,9.88,10.77,9.42,4.26,4.68,1.65,0.8,14.65,7.13,19.89,13.54,3.64,51.61,20.52,4.46,54.09,0.68,10.96,1.78,17.23,166.43,8.32,0.43,15.84,11.28,14.19,13.59,8.55
1984,1016.7,25.06,11.96,6.37,9,69.18,6.65,3.15,3.76,0.02,12.4,16.1,1.14,2.7,44.88,52.53,11.13,17.93,18.41,98.65,3.53,14.77,6.97,31.63,9.84,11.43,10.46,3.92,4.89,1.63,0.98,16.02,7.06,22.68,15.72,6.03,52.61,22.4,5.69,64.51,0.8,12.23,1.76,18.1,178.29,9.45,0.47,17.96,14.86,16.88,13.5,8.62
1985,971.38,23.07,11.79,5.62,9.35,67.91,5.73,2.84,3.28,0.04,13.01,19.15,1.33,2.73,41.64,52.24,11.3,16.77,18.77,86.7,2.35,12.74,7.22,32.15,10.09,10.11,11.09,4.74,4.8,1.36,0.93,13.71,5.57,21.58,15.29,9.38,49.99,21,4.87,55.49,0.87,12.14,1.71,18.35,176.03,8.34,0.44,17.21,13.82,13.02,13.24,8.47
1986,947.18,21.9,11.74,6.36,8.87,64.07,6,2.84,3.34,0.06,10.86,14.88,1.81,2.68,43.23,47.99,11.51,15.09,17.3,90.27,4.43,12.04,9.23,32.45,10.61,9.83,9.5,3.48,4.37,1.27,1.25,14,4.61,18.72,16.44,10.48,48.19,18.75,5.03,50.23,1.02,11.62,2.05,18.07,173.5,6.76,0.58,17.5,14.5,14.69,13.26,7.93
1987,978.27,23.61,12.17,3.38,6.33,70.14,5.51,3.12,3.37,0.04,10.49,15.65,1.76,2.91,45.03,51.9,11.89,15.99,18.36,95.05,3.12,13.13,8.04,25.36,10.42,9.22,9.83,3.48,4.72,1.32,1.16,15.38,5.28,20.25,16.34,11.06,49.43,21.2,5.47,56.56,0.99,12.44,2.04,18.01,180.05,5.21,0.53,18.44,16.26,15.07,13.19,8.59
1988,1031.01,26.06,14.22,3.59,8.91,67.44,6.29,3.1,3.6,0.03,12.03,16.55,2.15,3.02,47.27,55.9,12.53,16.44,18.23,95.37,3.74,12.89,5.46,29.83,11.01,10.49,10.13,3.75,4.96,1.76,0.89,15.35,5.01,20.62,16.15,10.44,53.37,20.57,5.65,60.43,1.16,13.17,2.08,18.54,196.74,8.97,0.56,18.8,17.15,16.42,13.71,8.45
1989,1031.74,24.64,15.4,4.15,9.82,66.91,6.72,2.9,3.43,0.03,11.47,16.75,1.89,3.26,42.93,54.72,12.69,15.33,19.17,99.98,3.53,12.14,5.49,28.6,11.43,10.96,9.58,4.22,4.86,2.27,0.81,15.45,5.19,21,15.83,11.3,49.95,21.19,5.15,60.85,0.75,12.92,2.19,18.3,201.1,9.22,0.48,18.34,16.21,17.37,14,8.86
1990,1055.52,24.65,15.49,3.79,9.08,69.33,6.9,2.81,4.31,0.04,11.84,18.01,2.17,3.4,42.96,53.33,12.51,15.35,19.41,103.4,3.35,11.32,5.37,32.2,12.25,11.62,9.16,4.38,4.45,2.14,0.78,14.26,6.83,19.61,17.01,11.09,48.85,22.63,5.19,62.54,0.64,13.16,2.09,18.32,209.66,9.66,0.44,19.32,16.51,17.66,14.07,10.18
1991,1022.25,24.87,17.03,3.84,7.82,70.66,7.77,2.94,3.34,0.03,11.12,17.54,2.09,3.94,43,50.65,13.45,14.93,17.45,99.84,3.96,9.59,4.76,28.91,11.59,10.76,8.7,4.22,4.44,2.23,0.8,14.31,6.25,18.81,16.4,11.18,44.73,20.35,5.31,56.48,1.73,12.84,2,18.05,207.43,9.05,0.45,19.67,15.47,15.46,14.28,9.72
1992,1070.47,27.89,18.46,3.85,9.32,71.09,8.02,3.19,4.58,0.03,12.77,17.86,2.08,3.28,43.34,49.97,13.79,15.88,18.63,105.46,5.33,6.91,6.52,29.33,12.88,11.18,9.12,4.36,4.57,2.51,1.09,18.47,6.55,20.16,18.17,11.84,46.43,21.61,6.02,60.57,2.87,13.44,1.92,19.55,213.05,8.92,0.53,18.55,17.87,14.72,14.24,11.7
1993,1062.32,26.48,18.1,3.86,9.41,68.33,8.7,3.26,4.83,0.02,14.01,17.5,1.99,3.4,43.53,48.32,14.05,15.79,19.64,107.33,5.02,6.85,6.72,25.58,13.38,10.62,9.43,4.71,5.27,2.57,1.34,18.92,6.35,20.12,17.29,11.69,44.21,22.79,5.97,60.8,0.96,13.98,2.29,19.55,214.61,9.11,0.54,16.98,15.66,15.33,15.03,10.1
1994,1076.32,27.39,17.7,4.25,10.2,68.67,8.2,2.85,4.93,0.03,14.76,18.15,2.17,3.49,44.19,43.96,14.83,17.67,19.48,108.67,6.25,6.98,5.77,28.01,13.68,9.9,9.68,4.86,5.48,2.67,1.11,19.22,6.36,20.31,16.45,12.04,44.52,22.05,5.9,60.96,2.56,13.57,2.44,19.71,217.38,9.1,0.42,17.27,17.97,16.17,15.5,10.41
1995,1087.69,28.09,21.02,4.59,11.13,67.63,8.07,2.63,4.78,0.03,16,19.14,2.23,3.71,44.21,46.35,15.18,14.32,21.02,108.86,4.87,6.69,5.06,28.54,14.04,9.76,9.71,5.24,5.43,3.04,1.03,19.36,6.72,22.12,17.65,12.58,43.52,22.33,6.34,60.85,2.17,13.37,2.24,19.38,221.06,10.23,0.38,17.31,17.4,14.89,15.56,9.82
